player_id,player_normalized,season,team,pos,pts_per_game,ast_per_game,trb_per_game,stl_per_game,blk_per_game,tov_per_game,fg_percent,ft_percent,x3p_percent,mp_per_game,g,fppg,per
horfoal01,al horford,2026,GSW,C,5.8,1.8,4.3,1.0,1.0,1.3,0.343,1.0,0.32,21.8,12,16.5,9.2
howarje01,jett howard,2026,ORL,SF,6.0,0.8,1.1,0.1,0.2,0.1,0.456,1.0,0.386,11.0,14,8.950000000000001,15.5
huertke01,kevin huerter,2026,CHI,SF,12.6,2.6,3.4,0.8,0.8,1.3,0.48,0.848,0.307,25.1,18,22.599999999999998,14.0
huffja01,jay huff,2026,IND,C,7.4,1.1,3.7,0.2,2.3,0.8,0.423,0.708,0.321,17.4,20,18.2,14.8
hukpoar01,ariel hukporti,2026,NYK,C,0.8,0.5,2.2,0.1,0.3,0.5,0.444,0.25,,6.4,12,4.25,7.5
huntede01,de'andre hunter,2026,CLE,SF,17.4,2.6,4.6,0.8,0.2,1.8,0.455,0.859,0.33,29.0,17,26.599999999999998,14.8
hylanbo01,bones hyland,2026,MIN,PG,3.6,1.3,1.1,0.4,0.0,0.6,0.488,0.75,0.32,8.5,14,7.050000000000001,12.5
ighodos01,oso ighodaro,2026,PHO,PF,4.8,1.7,3.6,0.7,0.6,1.1,0.59,0.391,0.0,17.0,21,13.1,11.0
ingrabr01,brandon ingram,2026,TOR,SF,21.5,3.7,5.7,1.0,0.6,3.0,0.474,0.821,0.313,33.9,21,33.75,15.4
isaacjo01,jonathan isaac,2026,ORL,PF,2.9,0.1,3.2,0.3,0.5,0.3,0.455,0.667,0.217,10.2,18,7.95,12.4
jacksis01,isaiah jackson,2026,IND,C,8.4,1.0,5.8,0.8,0.8,1.2,0.604,0.796,,19.4,20,18.5,17.0
jacksja02,jaren jackson jr.,2026,MEM,C,18.3,1.8,5.2,0.6,1.1,2.0,0.472,0.805,0.362,29.7,19,28.45,14.1
jackstr02,trayce jackson-davis,2026,GSW,C,4.4,1.0,3.3,0.3,0.6,0.7,0.526,0.65,,12.3,12,10.75,14.5
jamesbr02,bronny james,2026,LAL,SG,1.9,1.7,0.8,0.7,0.1,0.7,0.286,1.0,0.25,10.2,11,6.55,6.0
jamessi01,sion james,2026,CHO,SG,6.6,1.7,3.3,0.8,0.4,0.9,0.416,0.857,0.393,26.4,20,14.549999999999999,8.4
jaqueja01,jaime jaquez jr.,2026,MIA,SF,16.2,5.3,6.3,0.6,0.2,2.1,0.53,0.771,0.219,29.7,19,30.35,16.6
jenkida01,daniss jenkins,2026,DET,PG,9.3,3.7,1.7,1.2,0.1,1.4,0.5,0.75,0.455,18.1,15,18.400000000000002,17.5
joeis01,isaiah joe,2026,OKC,SG,13.1,1.4,2.8,0.6,0.2,0.9,0.448,0.923,0.407,23.7,16,19.1,15.9
johnsca02,cameron johnson,2026,DEN,SF,11.2,2.2,3.4,0.6,0.3,1.2,0.473,0.853,0.408,28.7,18,18.95,11.4
johnsja05,jalen johnson,2026,ATL,SF,22.9,7.3,9.8,1.6,0.4,3.3,0.539,0.783,0.403,34.7,19,45.35000000000001,22.7
johnske04,keldon johnson,2026,SAS,SF,13.1,1.8,6.6,0.8,0.1,1.0,0.578,0.813,0.333,24.2,19,23.65,20.4
johnstr03,tre johnson,2026,WAS,SG,11.5,1.3,3.0,0.4,0.5,1.6,0.445,0.813,0.395,24.3,15,17.099999999999998,10.0
jokicni01,nikola jokić,2026,DEN,C,28.9,10.9,12.4,1.5,0.7,3.6,0.637,0.852,0.453,34.7,19,59.55,36.1
jonesde02,derrick jones jr.,2026,LAC,SF,10.5,1.1,2.4,0.8,1.2,0.8,0.533,0.786,0.348,24.9,13,18.75,14.7
joneshe01,herbert jones,2026,NOP,SF,9.5,2.3,3.8,1.4,0.3,1.6,0.39,0.739,0.362,30.3,16,19.4,8.0
jonessp01,spencer jones,2026,DEN,SF,2.9,0.7,1.7,0.5,0.2,0.7,0.485,0.5,0.4,13.3,15,6.699999999999999,7.3
jonestr01,tre jones,2026,CHI,PG,12.8,5.0,3.4,1.8,0.3,1.7,0.515,0.855,0.273,28.5,16,27.25,17.0
jonesty01,tyus jones,2026,ORL,PG,2.1,1.9,0.9,0.7,0.1,0.3,0.308,1.0,0.233,13.7,20,7.55,6.7
jovicni01,nikola jović,2026,MIA,PF,8.3,2.9,4.2,0.6,0.4,2.0,0.4,0.722,0.294,20.6,15,17.35,9.4
kalkbry01,ryan kalkbrenner,2026,CHO,C,9.1,0.4,6.7,0.8,1.8,1.4,0.805,0.774,0.0,25.6,18,21.500000000000004,18.1
kennalu01,luke kennard,2026,ATL,SG,7.5,2.4,1.8,0.8,0.1,1.1,0.455,0.947,0.41,21.0,18,14.05,11.0
kispeco01,corey kispert,2026,WAS,SF,8.9,1.7,2.5,0.5,0.2,0.6,0.505,0.724,0.403,19.9,17,15.1,14.2
knechda01,dalton knecht,2026,LAL,SF,6.4,0.6,2.0,0.4,0.4,0.5,0.455,0.636,0.327,16.8,16,10.8,10.4
knuepko01,kon knueppel,2026,CHO,SF,18.4,3.0,5.7,0.8,0.2,2.3,0.47,0.898,0.413,33.5,20,28.799999999999997,14.9
kolekty01,tyler kolek,2026,NYK,PG,3.4,1.7,0.7,0.5,0.0,0.5,0.435,0.625,0.273,9.3,15,7.3999999999999995,11.2
konchjo01,john konchar,2026,MEM,SG,2.5,1.2,2.8,0.8,0.4,0.4,0.463,0.5,0.292,12.4,19,9.7,11.9
kornelu01,luke kornet,2026,SAS,C,8.2,2.2,5.9,0.3,1.3,0.8,0.691,0.786,,24.4,12,20.599999999999998,17.2
krejcvi01,vit krejci,2026,ATL,PG,10.4,1.9,2.3,0.6,0.3,0.8,0.513,0.688,0.467,23.4,17,16.999999999999996,13.1
kuminjo01,jonathan kuminga,2026,GSW,PF,13.5,2.8,6.2,0.4,0.3,2.6,0.479,0.771,0.333,27.1,14,23.049999999999997,12.6
kuzmaky01,kyle kuzma,2026,MIL,PF,13.5,2.1,4.6,0.9,0.5,1.3,0.508,0.762,0.345,26.2,20,23.45,15.3
landajo01,jock landale,2026,MEM,C,11.0,1.6,5.4,0.5,0.4,1.1,0.523,0.667,0.444,22.0,21,19.949999999999996,15.8
